Make/Model,Continent,MPG_City,Horsepower,Weight,Seating,Length,MPG_Hwy,Origin,Transmission,EPA_Class,Width,Displacement,Cylinders,Make,Model,Turndiam
Toyota_Highlander,As,22,160,3.57,5,184.6,27,3,automatic,suv2wd,71.9,2.4,4,Toyota,Highlander,37.4
Toyota_Land_Cruiser,As,13,235,5.39,8,192.5,17,3,automatic,suv4wd,76.4,4.7,8,Toyota,Land_Cruiser,39.7
Toyota_Matrix,As,29,130,2.679,5,171.3,36,3,manual,small_wagon,69.9,1.8,4,Toyota,Matrix,36.8
Toyota_MR2_Spyder,As,26,138,2.195,2,153,32,3,manual,two_seater,66.7,1.8,4,Toyota,MR2_Spyder,34.8
Toyota_Prius,As,60,76,2.89,5,175,51,3,cont_variable,midsize,67.9,1.5,4,Toyota,Prius,34.1
Toyota_RAV4,As,24,161,2.965,5,166.6,29,3,automatic,suv2wd,68.3,2.4,4,Toyota,RAV4,35.4
Toyota_ScionxA,As,32,108,2.38,5,154.1,38,3,automatic,subcompact,66.7,1.5,4,Toyota,ScionxA,
Toyota_SequoiaSR5,As,14,240,5.07,8,203.9,18,3,automatic,suv2wd,76.4,4.7,8,Toyota,SequoiaSR5,42.3
Toyota_Sienna,As,19,230,4.12,7,200,27,3,automatic,minivan2wd,77.4,3.3,6,Toyota,Sienna,36.8
Volkswagen_GolfGL,E,24,115,2.91,5,164.9,30,2,automatic,compact,68.3,2,4,Volkswagen,GolfGL,35.8
Volkswagen_GTI_1.8T,E,22,180,3.051,5,164.9,29,2,automatic,compact,68.3,1.8,4,Volkswagen,GTI_1.8T,35.8
Volkswagen_Jetta_GL2.0L,E,24,115,2.945,5,172.3,30,2,automatic,compact,68.3,2,4,Volkswagen,Jetta_GL2.0L,35.8
Volkswagen_Jetta_GL1.9L_TDI-PD,E,32,100,3.071,5,172.3,43,2,automatic,compact,68.3,1.9,4,Volkswagen,Jetta_GL1.9L_TDI-PD,35.8
Volkswagen_JettaWagonGL,E,23,115,3.089,5,173.6,30,2,automatic,small_wagon,68.3,2,4,Volkswagen,Jetta_Wagon_GL2.0L,35.8
Volkswagen_NewBeetleGL,E,24,115,2.78,4,161.1,30,2,automatic,subcompact,67.9,2,4,Volkswagen,NewBeetleGL2.0L,35.8
Volkswagen_Passat,E,21,170,3.322,5,185.2,30,2,automatic,midsize,68.7,1.8,4,Volkswagen,Passat,37.4
Volkswagen_Phaeton,E,15,335,5.194,5,203.7,22,2,automatic,large,74.9,4.2,8,Volkswagen,Phaeton,39.4
Volkswagen_TouaregV6,E,15,220,5.086,5,187.2,20,2,automatic,suv4wd,75.9,3.2,6,Volkswagen,TouaregV6,38.1
Volkswagen_TouaregV8,E,14,310,5.3,5,187.2,18,2,automatic,suv4wd,75.9,4.2,8,Volkswagen,TouaregV8,38.1
Volvo_C70,E,18,197,3.45,4,185.7,25,2,automatic,subcompact,71.5,2.3,5,Volvo,C70,38.4
Volvo_S40,E,22,168,3.082,5,175.9,30,2,automatic,compact,69.7,2.4,5,Volvo,S40,34.9
Volvo_S60,E,22,208,3.4,5,180.2,30,2,automatic,compact,71,2.5,5,Volvo,S60,39
Volvo_S80,E,20,208,3.583,5,189.8,28,2,automatic,midsize,72.1,2.5,5,Volvo,S80,39
Volvo_V70,E,22,168,3.488,5,185.4,30,2,automatic,midsize_wagon,71,2.4,5,Volvo,V70,39
Volvo_XC70,E,19,208,3.699,5,186.3,24,2,automatic,suv4wd,73.2,2.5,5,Volvo,XC70,39
Volvo_XC90,E,15,268,4.791,7,188.9,20,2,automatic,suv4wd,74.7,2.9,6,Volvo,XC90,39
