"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Kay","Oklahoma",16126,0.286927942453181,0.713072057546819,46260,25841,0.558603545179421,0.624047057002438,0.856,"Low",0.1815,0.7855,0.444,39.5,0.204,0.235,0.063,413.56,4.6,8.2,0.019,0.0625,0.199,0.062,FALSE,0.31290162245387
"Kingfisher","Oklahoma",5768,0.155686546463245,0.844313453536754,14626.5,8590,0.587290192458893,0.671478463329453,0.832,"Medium",0.114,0.81,0.405,38.2,0.194,0.24,0.032,42.54,11.302,8.52,0.0145,0.1195,0.171,0.068,FALSE,0.31290162245387
"Kiowa","Oklahoma",3422,0.323202805376973,0.676797194623027,9419,5097,0.541140248434016,0.671375318814989,0.844,"Low",0.1885,0.7725,0.462,42.8,0.276,0.212,0.049,222.12,13.116,14.3,0.0445,0.0865,0.164,0.049,FALSE,0.31290162245387
"Latimer","Oklahoma",3798,0.308056872037915,0.691943127962085,10838,6804,0.627791105369994,0.558201058201058,0.813,"Low",0.1475,0.701,0.427,39.1,0.223,0.218,0.088,172.51,12.346,15.1,0.0045,0.0255,0.138,0.049,FALSE,0.31290162245387
"Lincoln","Oklahoma",12826,0.255184780913769,0.744815219086231,33204,19130,0.576135405372847,0.670465237846315,0.853,"Medium",0.152,0.8445,0.43,39.4,0.27,0.224,0.051,147.14,4.68,10.3,0.022,0.0235,0.137,0.037,FALSE,0.31290162245387
"Logan","Oklahoma",17038,0.277262589505811,0.722737410494189,39545,26504,0.670223795675812,0.64284636281316,0.872,"Medium",0.1545,0.792,0.47,37.5,0.226,0.199,0.044,157.76,3.69,7.5,0.0935,0.047,0.232,0.069,FALSE,0.31290162245387
"Love","Oklahoma",3470,0.297982708933718,0.702017291066282,9247.5,5886,0.636496350364964,0.589534488617057,0.783,"Medium",0.1405,0.776,0.419,42,0.323,0.237,0.037,138.32,13.632,16.36,0.02,0.106,0.139,0.036,FALSE,0.31290162245387
"Major","Oklahoma",3146,0.141767323585505,0.858232676414495,7351,4462,0.606992245952932,0.705064993276558,0.859,"Medium",0.1055,0.891,0.435,43.9,0.144,0.213,0.032,85.41,12.43,16.04,0.002,0.0675,0.164,0.046,FALSE,0.31290162245387
"Marshall","Oklahoma",5140,0.2715953307393,0.7284046692607,15300,7880,0.515032679738562,0.652284263959391,0.796,"Low",0.137,0.711,0.393,42,0.197,0.283,0.057,282.55,14.504,16.04,0.01,0.135,0.159,0.048,FALSE,0.31290162245387
"Mayes","Oklahoma",14460,0.333540802213001,0.666459197786999,40462.5,22111,0.546456595613222,0.653973135543395,0.834,"Medium",0.1645,0.681,0.406,39.5,0.284,0.244,0.061,300.94,4.59,8.1,0.005,0.026,0.119,0.035,FALSE,0.31290162245387
"Murray","Oklahoma",5146,0.299261562378546,0.700738437621454,13108.5,7975,0.608383873059465,0.645266457680251,0.798,"High",0.1535,0.7625,0.403,40,0.286,0.226,0.032,167.49,10.8,13.04,0.018,0.0485,0.133,0.048,FALSE,0.31290162245387
"Muskogee","Oklahoma",23356,0.426100359650625,0.573899640349375,70844,40297,0.568813166958387,0.579596496017073,0.829,"Medium",0.191,0.601,0.445,37.5,0.333,0.237,0.064,611.2,6.31,7,0.115,0.047,0.175,0.059,FALSE,0.31290162245387
"Noble","Oklahoma",4631,0.246814942776938,0.753185057223062,11286,6590,0.583909268119794,0.702731411229135,0.885,"Medium",0.136,0.8325,0.416,39.8,0.257,0.177,0.04,104.47,11.49,17.08,0.02,0.0265,0.175,0.047,FALSE,0.31290162245387
"Nowata","Oklahoma",4076,0.305201177625123,0.694798822374877,10591,6312,0.595977716929468,0.64575411913815,0.835,"Medium",0.185,0.685,0.48,40.5,0.248,0.221,0.064,440.69,11.864,16.9,0.0245,0.0215,0.126,0.022,FALSE,0.31290162245387
"Okfuskee","Oklahoma",3591,0.349763297131718,0.650236702868282,11662.5,6439,0.552111468381565,0.557695294300357,0.788,"Low",0.2415,0.64,0.402,40.3,0.248,0.246,0.072,246.62,13.676,15.78,0.0905,0.026,0.109,0.031,FALSE,0.31290162245387
"Oklahoma","Oklahoma",256710,0.416742627868022,0.583257372131978,709438.5,405303,0.571301106438402,0.633377991280597,0.854,"Medium",0.1685,0.6135,0.49,34.4,0.235,0.231,0.051,689.99,9.1,8.4,0.1465,0.138,0.282,0.096,FALSE,0.31290162245387
"Okmulgee","Oklahoma",13163,0.412671883309276,0.587328116690724,39649.5,21965,0.55397924311782,0.59927156840428,0.824,"Low",0.2085,0.662,0.422,38.3,0.228,0.222,0.077,330.9,7.57,8.9,0.0885,0.0295,0.135,0.042,FALSE,0.31290162245387
"Osage","Oklahoma",17946,0.373565139864037,0.626434860135964,46277,27362,0.591265639518551,0.655873108690885,0.873,"High",0.128,0.6505,0.44,40.4,0.262,0.206,0.061,488.95,4.87,8,0.1095,0.0295,0.178,0.056,FALSE,0.31290162245387
"Ottawa","Oklahoma",9975,0.351779448621554,0.648220551378446,31998,16458,0.514344646540409,0.606088224571637,0.825,"Low",0.178,0.6895,0.425,38.5,0.336,0.246,0.059,231.42,9.234,7,0.009,0.045,0.131,0.043,FALSE,0.31290162245387
"Pawnee","Oklahoma",6045,0.299917287014061,0.700082712985939,16508.5,9754,0.590847139352455,0.619745745335247,0.863,"Medium",0.1845,0.801,0.421,42,0.248,0.227,0.064,205.26,9.5,14.78,0.0095,0.0195,0.161,0.051,FALSE,0.31290162245387
"Payne","Oklahoma",25679,0.358191518361307,0.641808481638693,77942,42142,0.540684098432167,0.609344596839258,0.892,"Low",0.2415,0.8115,0.485,27,0.175,0.216,0.048,202.55,1.94,4.8,0.037,0.034,0.34,0.146,FALSE,0.31290162245387
"Pittsburg","Oklahoma",15672,0.308256763654926,0.691743236345074,45175.5,27405,0.60663412690507,0.571866447728517,0.818,"Medium",0.164,0.733,0.442,41.6,0.28,0.227,0.054,214.26,7.92,9.9,0.0365,0.0345,0.151,0.049,FALSE,0.31290162245387
"Pontotoc","Oklahoma",12892,0.30615885820664,0.69384114179336,36940,21108,0.5714131023281,0.610763691491378,0.844,"Low",0.2045,0.7075,0.465,35.7,0.267,0.221,0.043,548.66,3.94,8.6,0.0235,0.0375,0.262,0.118,FALSE,0.31290162245387
"Pottawatomie","Oklahoma",23438,0.306681457462241,0.693318542537759,69198.5,37907,0.547800891637825,0.61830268815786,0.834,"Medium",0.1735,0.7545,0.432,37.2,0.308,0.222,0.048,462.59,4.6,7.1,0.031,0.038,0.166,0.054,FALSE,0.31290162245387
"Pushmataha","Oklahoma",4130,0.252542372881356,0.747457627118644,11595,7351,0.633980163863734,0.561828322677187,0.804,"Low",0.2605,0.747,0.445,43.7,0.389,0.274,0.06,248.18,11.962,15.88,0.0045,0.0245,0.116,0.038,FALSE,0.31290162245387
"Roger Mills","Oklahoma",1674,0.162485065710872,0.837514934289128,3478.5,2367,0.680465717981889,0.707224334600761,0.886,"Medium",0.116,0.866,0.505,43.5,0.1936,0.232,0.024,92.97,11.734,16.76,0.007,0.0455,0.201,0.086,FALSE,0.31290162245387
"Rogers","Oklahoma",36701,0.249257513419253,0.750742486580747,84897.5,55407,0.652634058717866,0.662389228797805,0.891,"High",0.0935,0.755,0.393,37.9,0.254,0.17,0.054,162.75,2.05,6.7,0.009,0.035,0.212,0.064,FALSE,0.31290162245387
"Seminole","Oklahoma",7456,0.348712446351931,0.651287553648069,24807,12413,0.50038295642359,0.600660597760412,0.796,"Low",0.2375,0.679,0.453,39.1,0.264,0.237,0.068,274.14,7.96,11.4,0.0475,0.033,0.133,0.055,FALSE,0.31290162245387
"Sequoyah","Oklahoma",13771,0.304480429888897,0.695519570111103,41638.5,22272,0.534889585359703,0.618309985632184,0.8,"Low",0.215,0.6605,0.438,38.4,0.313,0.235,0.085,243,6.2,7.8,0.019,0.033,0.122,0.037,FALSE,0.31290162245387
"Stephens","Oklahoma",16847,0.233810173918205,0.766189826081795,44052,26227,0.595364569145555,0.642353300034316,0.851,"Medium",0.1285,0.8325,0.438,41,0.209,0.191,0.044,256.72,3.89,7.6,0.021,0.0585,0.165,0.051,FALSE,0.31290162245387
"Texas","Oklahoma",5792,0.148825966850829,0.851174033149171,20517.5,9852,0.480175459973194,0.587900933820544,0.731,"Medium",0.1605,0.539,0.457,31.5,0.157,0.286,0.047,167.96,11.93,8.16,0.0105,0.4155,0.203,0.047,FALSE,0.31290162245387
"Tillman","Oklahoma",2721,0.332965821389195,0.667034178610805,8041,4766,0.592712349210297,0.5709190096517,0.743,"Low",0.208,0.652,0.414,40.8,0.177,0.25,0.047,372.7,12.302,16.48,0.076,0.2085,0.146,0.029,FALSE,0.31290162245387
"Tulsa","Oklahoma",227806,0.363221337453798,0.636778662546202,594411,346849,0.5835171287207,0.656787247476568,0.88,"High",0.1495,0.6705,0.478,35.3,0.227,0.214,0.055,780.21,9.56,8,0.1055,0.1025,0.288,0.092,FALSE,0.31290162245387
"Wagoner","Oklahoma",28691,0.27154856923774,0.72845143076226,70027,41650,0.594770588487298,0.688859543817527,0.879,"High",0.116,0.752,0.391,37.6,0.217,0.189,0.054,266.86,4.6,7.1,0.0385,0.044,0.208,0.05,FALSE,0.31290162245387
"Washington","Oklahoma",21200,0.260943396226415,0.739056603773585,50384.5,31709,0.629340372535204,0.668579898451544,0.881,"Medium",0.1365,0.765,0.469,41.2,0.226,0.19,0.041,288.74,3.764,8.6,0.0235,0.0485,0.261,0.07,FALSE,0.31290162245387
"Washita","Oklahoma",4316,0.190454124189064,0.809545875810936,11601,6539,0.563658305318507,0.660039761431412,0.842,"Medium",0.1685,0.865,0.429,39.5,0.252,0.213,0.034,221.68,16.226,8.46,0.008,0.0715,0.164,0.061,FALSE,0.31290162245387
"Woods","Oklahoma",3398,0.197469099470277,0.802530900529723,8659,5229,0.603880355699272,0.649837445018168,0.882,"Low",0.13,0.8795,0.447,38.1,0.146,0.19,0.029,125.68,13.574,8.88,0.0315,0.041,0.285,0.103,FALSE,0.31290162245387
"Woodward","Oklahoma",7078,0.160073467081096,0.839926532918904,19755.5,11426,0.578370580344714,0.619464379485384,0.833,"High",0.118,0.8425,0.432,37.1,0.277,0.22,0.028,178.51,7.118,8.72,0.0145,0.0895,0.174,0.043,FALSE,0.31290162245387
"Anderson","Texas",16212,0.23519615099926,0.756353318529484,57516.5,27997,0.486764667530187,0.579062042361682,0.748,"Medium",0.1665,0.6155,0.465,38.5,0.216,0.264,0.077,311.56,6.7,5.8,0.2145,0.1495,0.113,0.029,FALSE,0.117692390064368
"Andrews","Texas",4482,0.177376171352075,0.811914323962517,14040.5,9043,0.644065382286956,0.495631980537432,0.727,"High",0.1775,0.484,0.531,34.6,0.2044,0.271,0.037,536.37,13.188,8.24,0.0095,0.4785,0.124,0.033,FALSE,0.117692390064368
"Angelina","Texas",28406,0.27578680560445,0.714743364078012,84618,51248,0.605639462052991,0.554285045270059,0.78,"Medium",0.1785,0.6445,0.452,35.7,0.207,0.252,0.067,350.84,5.76,5.3,0.146,0.1885,0.159,0.048,FALSE,0.117692390064368
"Aransas","Texas",9648,0.280265339966833,0.707918739635158,23828.5,17150,0.719726378076673,0.562565597667638,0.852,"Low",0.1725,0.7095,0.47,46.8,0.2124,0.266,0.061,186.09,9.82,13.64,0.0105,0.236,0.239,0.08,FALSE,0.117692390064368
"Archer","Texas",4164,0.126080691642651,0.864553314121037,8995,6306,0.701056142301278,0.660323501427212,0.84,"High",0.0925,0.909,0.409,41.4,0.2544,0.245,0.049,112.93,12.53,14.58,0.003,0.075,0.188,0.041,FALSE,0.117692390064368
"Armstrong","Texas",935,0.104812834224599,0.885561497326203,1957.5,1391,0.710600255427842,0.672178289000719,0.915,"High",0.11,0.878,0.375,43,0.2132,0.262,0.048,0,10.936,8.72,0.0105,0.089,0.259,0.071,FALSE,0.117692390064368
"Atascosa","Texas",12721,0.40350601367817,0.586510494457983,44217.5,26313,0.595081133035563,0.483449245620036,0.738,"Medium",0.1915,0.3675,0.429,35.6,0.383,0.266,0.066,189.97,6.56,7.6,0.0065,0.612,0.11,0.037,FALSE,0.117692390064368
"Austin","Texas",11649,0.193321315134346,0.795347240106447,27492,19231,0.699512585479412,0.605740731111227,0.812,"High",0.0855,0.6685,0.452,40,0.179,0.234,0.06,233.82,5.434,10.04,0.095,0.222,0.179,0.054,FALSE,0.117692390064368
"Bailey","Texas",1816,0.256607929515418,0.737334801762115,6762.5,3724,0.550683918669131,0.487647690655209,0.734,"Medium",0.1715,0.446,0.427,30,0.19,0.325,0.066,303.86,13.278,8.58,0.022,0.5255,0.185,0.056,FALSE,0.117692390064368
"Bandera","Texas",9448,0.197290431837426,0.785986452159187,20311,15462,0.761262370144257,0.611046436424783,0.89,"Medium",0.1715,0.809,0.452,47.6,0.221,0.264,0.06,83.84,9.196,12.86,0.0055,0.1655,0.24,0.075,FALSE,0.117692390064368
"Bastrop","Texas",24481,0.402924717127568,0.573220048200645,73049.5,44756,0.612680442713503,0.546988113325588,0.806,"High",0.1375,0.5915,0.407,37.6,0.221,0.258,0.064,414.82,3.83,6.1,0.0795,0.3055,0.179,0.056,FALSE,0.117692390064368
"Baylor","Texas",1592,0.167713567839196,0.814698492462312,3757.5,2437,0.648569527611444,0.653262207632335,0.847,"Low",0.153,0.8415,0.515,45.9,0.2122,0.255,0.043,453.94,10.886,15.42,0.024,0.122,0.245,0.068,FALSE,0.117692390064368
"Bee","Texas",7879,0.438126665820536,0.552862038329737,32137,15698,0.488471232535707,0.501911071474073,0.695,"Low",0.196,0.335,0.476,35.7,0.1724,0.226,0.07,271.79,8.398,6.84,0.0885,0.559,0.092,0.038,FALSE,0.117692390064368
"Bell","Texas",86206,0.411943484212236,0.575064380669559,292914.5,185010,0.631617758765783,0.465953191719366,0.886,"High",0.1415,0.5215,0.424,29.5,0.194,0.202,0.073,404.2,6.27,7.8,0.202,0.206,0.212,0.07,FALSE,0.117692390064368
"Bexar","Texas",513681,0.515604042197395,0.470363902889147,1649795,1037883,0.629098160680569,0.494931509621027,0.814,"Medium",0.17,0.3115,0.463,32.7,0.162,0.231,0.066,507.66,7.63,6.6,0.068,0.581,0.253,0.091,FALSE,0.117692390064368
"Blanco","Texas",4973,0.245324753669817,0.731550372008848,9767,8014,0.820518071055595,0.620539056650861,0.883,"Medium",0.116,0.786,0.44,45.2,0.163,0.285,0.055,207.38,12.78,8.96,0.0155,0.1865,0.254,0.079,FALSE,0.117692390064368
"Borden","Texas",363,0.0881542699724518,0.892561983471074,613,454,0.740619902120718,0.799559471365639,0.851,"High",0.048,0.799,0.502,43.2,0.1564,0.168,0.03,0,12.182,9.4,0,0.1955,0.191,0.034,FALSE,0.117692390064368
"Bosque","Texas",7356,0.185834692767809,0.800027188689505,17966,11942,0.664699988867862,0.615977223245687,0.801,"Medium",0.1695,0.808,0.421,44.4,0.39,0.265,0.074,88.16,9.162,8.88,0.017,0.156,0.148,0.046,FALSE,0.117692390064368
"Bowie","Texas",35404,0.287990057620608,0.702434753135239,92203,58950,0.639350129605327,0.600576759966073,0.835,"Medium",0.1725,0.667,0.469,37.4,0.17,0.222,0.068,728.02,9.92,7.4,0.2355,0.061,0.181,0.069,FALSE,0.117692390064368
"Brazoria","Texas",106739,0.322478194474372,0.663881055659131,302735,195621,0.6461790014369,0.545641827820122,0.843,"High",0.106,0.5555,0.416,34.9,0.15,0.214,0.07,193.51,3.91,5.7,0.1105,0.2675,0.261,0.091,FALSE,0.117692390064368
"Brazos","Texas",55962,0.312301204388692,0.664897609091884,183116.5,103305,0.564149052652273,0.541716277043706,0.845,"Low",0.3015,0.6095,0.529,24.1,0.131,0.242,0.055,393.69,2.85,5,0.105,0.2215,0.393,0.169,FALSE,0.117692390064368
"Brewster","Texas",3867,0.456426170157745,0.510990431859322,9224,7376,0.799653078924545,0.524267895878525,0.802,"Low",0.1705,0.5285,0.49,40.3,0.156,0.272,0.047,185.38,11.72,9.84,0.011,0.4285,0.304,0.135,FALSE,0.117692390064368
"Briscoe","Texas",702,0.166666666666667,0.823361823361823,1610,1095,0.680124223602484,0.641095890410959,0.81,"Medium",0.221,0.714,0.392,44.8,0.2742,0.363,0.063,42.19,13.75,16.14,0.016,0.251,0.15,0.027,FALSE,0.117692390064368
"Brooks","Texas",2403,0.784852267998335,0.210986267166042,7349,6441,0.876445774935365,0.373078714485328,0.537,"Low",0.3455,0.094,0.512,36.3,0.2366,0.25,0.071,361.79,18.04,8.94,0.0015,0.8995,0.125,0.045,FALSE,0.117692390064368
"Brown","Texas",13947,0.136516813651681,0.852871585287159,38165.5,23320,0.611023044372535,0.598070325900515,0.817,"Medium",0.1695,0.7535,0.476,39,0.258,0.238,0.06,353.22,4.12,11.3,0.0385,0.189,0.15,0.045,FALSE,0.117692390064368
"Burleson","Texas",6456,0.26409541511772,0.723513011152416,16910.5,11621,0.687206173679075,0.555545994320626,0.768,"High",0.1545,0.6805,0.409,41.3,0.224,0.275,0.06,190.77,9.36,12.04,0.127,0.176,0.105,0.035,FALSE,0.117692390064368
"Burnet","Texas",16796,0.218742557751846,0.764646344367707,43076,29367,0.68174853746866,0.571934484285082,0.835,"Medium",0.132,0.7765,0.442,43,0.246,0.278,0.054,172.45,3.628,7.7,0.0175,0.1865,0.214,0.066,FALSE,0.117692390064368
"Caldwell","Texas",11068,0.432869533791109,0.544000722804481,37480.5,22386,0.597270580701965,0.494416152952738,0.756,"Medium",0.195,0.4555,0.428,34.5,0.2148,0.284,0.07,346.15,8.882,7.84,0.069,0.4555,0.143,0.039,FALSE,0.117692390064368
"Calhoun","Texas",6648,0.36251504211793,0.623345367027678,20882.5,12874,0.616497066922064,0.516389622494951,0.782,"Medium",0.151,0.4705,0.436,38.6,0.1768,0.247,0.07,522.36,8.354,9.84,0.0245,0.452,0.147,0.04,FALSE,0.117692390064368
"Callahan","Texas",5197,0.144506446026554,0.842409082162786,13422,9207,0.68596334376397,0.564461822526339,0.863,"Medium",0.1295,0.8865,0.423,41.3,0.224,0.255,0.051,95.14,11.586,10.04,0.008,0.0795,0.171,0.047,FALSE,0.117692390064368
"Cameron","Texas",76895,0.649912217959555,0.339410884973015,394695.5,196572,0.49803456081967,0.39117982215168,0.623,"Low",0.352,0.1165,0.492,30.2,0.136,0.359,0.105,319.26,2.29,5.7,0.003,0.8705,0.145,0.047,FALSE,0.117692390064368
"Camp","Texas",4335,0.329411764705882,0.664590542099193,12445,7593,0.610124548011249,0.570920584749111,0.747,"Low",0.2155,0.5965,0.436,38.1,0.213,0.29,0.077,248.23,12.002,16.12,0.1695,0.2125,0.149,0.051,FALSE,0.117692390064368
"Carson","Texas",2778,0.105111591072714,0.882289416846652,6214,4314,0.694238815577728,0.643949930458971,0.879,"High",0.0735,0.8775,0.385,40.7,0.2002,0.153,0.045,192.27,12.796,8.32,0.007,0.087,0.236,0.071,FALSE,0.117692390064368
"Cass","Texas",11788,0.248048863250764,0.743383101459111,29889.5,19891,0.665484534702822,0.592629832587602,0.823,"Medium",0.187,0.77,0.456,43.2,0.269,0.237,0.091,290.87,5.158,10.54,0.18,0.0305,0.129,0.041,FALSE,0.117692390064368
"Castro","Texas",2119,0.297310051911279,0.693723454459651,7647.5,3957,0.517423994769532,0.535506696992671,0.681,"Low",0.2255,0.4005,0.419,33.6,0.2152,0.337,0.051,154.39,11.87,8.52,0.02,0.567,0.149,0.026,FALSE,0.117692390064368
"Chambers","Texas",14735,0.189345096708517,0.79993213437394,32147,26886,0.836345537686254,0.54805474968385,0.848,"High",0.1075,0.7075,0.384,35.8,0.18,0.193,0.077,261.18,6.83,7.84,0.097,0.177,0.162,0.045,FALSE,0.117692390064368
"Cherokee","Texas",16126,0.240295175492993,0.749968994170904,49443,27704,0.56032198693445,0.582082009818077,0.742,"Low",0.217,0.6405,0.45,37.9,0.249,0.302,0.077,456.95,4.892,7.2,0.148,0.193,0.118,0.039,FALSE,0.117692390064368
"Childress","Texas",1996,0.160320641282565,0.834168336673347,7285.5,3564,0.489190858554663,0.560044893378227,0.821,"Low",0.2225,0.615,0.438,33,0.2444,0.239,0.053,335.52,12.836,8.96,0.118,0.251,0.157,0.04,FALSE,0.117692390064368
"Clay","Texas",5057,0.146331817282974,0.843583152066443,10927,7609,0.696348494554773,0.664607701406229,0.892,"High",0.102,0.9205,0.385,44,0.2088,0.228,0.051,73.6,11.7,15.16,0.0045,0.046,0.193,0.056,FALSE,0.117692390064368
"Cochran","Texas",917,0.27917121046892,0.707742639040349,3103.5,1772,0.570968261640084,0.517494356659142,0.665,"Medium",0.27,0.4315,0.397,34.6,0.2284,0.335,0.077,54.18,11.798,8.38,0.0475,0.5085,0.117,0.029,FALSE,0.117692390064368
"Coke","Texas",1408,0.127130681818182,0.865056818181818,3405.5,2187,0.642196446924093,0.643804298125286,0.863,"Low",0.17,0.7855,0.381,46.1,0.2374,0.303,0.062,29.54,14.464,16.12,0.005,0.188,0.118,0.029,FALSE,0.117692390064368
"Coleman","Texas",3492,0.126575028636884,0.862542955326461,8716.5,5952,0.682842884185166,0.586693548387097,0.778,"Low",0.3025,0.8,0.497,44.5,0.2864,0.281,0.059,124.53,12.274,14.34,0.023,0.156,0.137,0.034,FALSE,0.117692390064368
"Collin","Texas",302821,0.334900815993607,0.650179478966122,755927.5,532869,0.704920776132632,0.568284137377104,0.928,"High",0.0665,0.6505,0.424,34.6,0.097,0.16,0.061,182.81,1.84,4.7,0.078,0.1425,0.483,0.16,FALSE,0.117692390064368
"Collingsworth","Texas",1150,0.153913043478261,0.836521739130435,3025,1899,0.627768595041322,0.605581885202738,0.742,"Low",0.191,0.5955,0.496,36.3,0.244,0.363,0.047,10.94,13.576,9.58,0.0515,0.3235,0.183,0.039,FALSE,0.117692390064368
"Colorado","Texas",8117,0.249969200443514,0.742392509547863,20714,13801,0.666264362267066,0.588145786537207,0.796,"Medium",0.154,0.6055,0.46,42.5,0.239,0.268,0.057,254.02,8.462,11.74,0.134,0.2485,0.153,0.04,FALSE,0.117692390064368
"Comal","Texas",51529,0.222204971957538,0.763026645190087,106716,91822,0.860433299598935,0.561183594345582,0.886,"High",0.095,0.713,0.439,42,0.169,0.208,0.061,275.89,2.46,6.1,0.0155,0.248,0.326,0.111,FALSE,0.117692390064368
"Comanche","Texas",4906,0.181410517733388,0.803913575214024,13745.5,8908,0.64806663999127,0.550740907049843,0.747,"Medium",0.2145,0.733,0.43,42.2,0.22,0.329,0.058,230.3,10.542,9.78,0.005,0.247,0.181,0.052,FALSE,0.117692390064368
"Concho","Texas",1001,0.193806193806194,0.792207792207792,3848.5,1661,0.431596725997142,0.602649006622517,0.717,"Low",0.191,0.488,0.415,40.5,0.1876,0.273,0.071,83.85,11.806,7.5,0.0175,0.4835,0.105,0.033,FALSE,0.117692390064368
"Cooke","Texas",14351,0.156504773186538,0.832764267298446,38430.5,25011,0.650811204642146,0.573787533485266,0.818,"High",0.136,0.794,0.438,38.9,0.1948,0.261,0.044,260.68,5.61,6.4,0.0265,0.1475,0.195,0.056,FALSE,0.117692390064368
"Coryell","Texas",16604,0.310648036617682,0.675740785352927,74002.5,37414,0.505577514273166,0.443791094242797,0.876,"Medium",0.1405,0.6155,0.382,29.1,0.157,0.181,0.086,219.27,2.91,8.9,0.1715,0.1485,0.154,0.046,FALSE,0.117692390064368
"Cottle","Texas",741,0.242914979757085,0.748987854251012,1600.5,1076,0.672289909403311,0.688661710037175,0.791,"Medium",0.1175,0.646,0.393,46,0.194,0.327,0.061,43.16,11.838,17.12,0.115,0.1975,0.159,0.02,FALSE,0.117692390064368
"Crane","Texas",1283,0.214341387373344,0.767731878409977,4140.5,2672,0.645332689288733,0.480164670658683,0.722,"Medium",0.2015,0.447,0.387,38.2,0.228,0.254,0.053,116.54,12.112,8.64,0.028,0.5055,0.131,0.033,FALSE,0.117692390064368
"Crockett","Texas",1457,0.329444063143445,0.656829100892244,3751.5,2556,0.681327469012395,0.570031298904538,0.619,"Medium",0.159,0.3915,0.47,34,0.2484,0.294,0.04,467.36,10.592,9.38,0.0015,0.601,0.091,0,FALSE,0.117692390064368
"Crosby","Texas",1787,0.357582540570789,0.633463905987689,6185.5,3581,0.578934605124889,0.499022619380061,0.752,"Low",0.242,0.434,0.45,36.8,0.2224,0.275,0.068,152.56,14.124,9.52,0.034,0.5195,0.133,0.036,FALSE,0.117692390064368
"Culberson","Texas",879,0.646188850967008,0.335608646188851,2437,1762,0.723020106688552,0.498864926220204,0.618,"Low",0.2865,0.2545,0.541,30.1,0.2094,0.343,0.035,110.68,12.782,9.04,0.0015,0.7315,0.138,0.077,FALSE,0.117692390064368
"Dallam","Texas",1534,0.164928292046936,0.813559322033898,6428,3117,0.484909769757312,0.492139878087905,0.718,"Low",0.125,0.5865,0.396,33.4,0.2092,0.346,0.039,237.07,11.63,8.42,0.018,0.3705,0.084,0.023,FALSE,0.117692390064368
"Dallas","Texas",710117,0.571132644338891,0.416569382228562,2375632.5,1280171,0.538875857271695,0.554704801155471,0.765,"High",0.174,0.346,0.492,32.3,0.153,0.305,0.072,498.24,10.11,7.1,0.2095,0.38,0.28,0.096,FALSE,0.117692390064368
"Dawson","Texas",3642,0.279791323448655,0.711422295442065,13832,7344,0.530942741469057,0.495915032679739,0.67,"Medium",0.205,0.3855,0.455,34.9,0.2708,0.268,0.069,334.69,7.48,8.68,0.0715,0.5225,0.087,0.025,FALSE,0.117692390064368
"Delta","Texas",2018,0.224975222993062,0.755203171456888,5332.5,3847,0.721425222691045,0.524564595788926,0.842,"Medium",0.147,0.837,0.451,41.2,0.2632,0.257,0.076,130.84,14.308,15.8,0.0705,0.0535,0.15,0.046,FALSE,0.117692390064368
"Denton","Texas",242781,0.333543399195159,0.64905820471948,637228,462532,0.725850088194492,0.524895574792663,0.912,"High",0.0805,0.663,0.422,32.6,0.101,0.175,0.06,186.09,2.54,5.1,0.0775,0.174,0.395,0.118,FALSE,0.117692390064368
"Dickens","Texas",1019,0.211972522080471,0.778213935230618,2461.5,1331,0.540727198862482,0.765589782118708,0.729,"Low",0.269,0.629,0.478,41.1,0.2294,0.27,0.095,122.23,11.976,9.7,0.034,0.3165,0.127,0.031,FALSE,0.117692390064368
"Dimmit","Texas",2917,0.733973260198834,0.261227288309907,9914.5,7429,0.74930657118362,0.392650424013999,0.61,"Low",0.368,0.132,0.45,35.4,0.2124,0.271,0.051,471.24,12.262,8.9,0.0065,0.8515,0.126,0.026,FALSE,0.117692390064368
"Donley","Texas",1535,0.147231270358306,0.838436482084691,3690,2327,0.630623306233062,0.659647614954878,0.822,"Low",0.1265,0.843,0.409,40.9,0.2496,0.286,0.055,194.9,12.72,16.02,0.047,0.085,0.166,0.051,FALSE,0.117692390064368
"Duval","Texas",4344,0.766804788213628,0.225598526703499,11990.5,8360,0.697218631416538,0.519617224880383,0.649,"Low",0.2635,0.1045,0.467,36.4,0.2334,0.251,0.067,620.98,12.882,9.34,0.009,0.8805,0.085,0.04,FALSE,0.117692390064368
"Eastland","Texas",6495,0.149345650500385,0.838183217859892,18421.5,11672,0.633607469532883,0.556459904043866,0.777,"Low",0.2105,0.8175,0.451,41,0.144,0.282,0.061,211.66,7.834,13.6,0.024,0.144,0.155,0.052,FALSE,0.117692390064368
"Ector","Texas",32513,0.24968474148802,0.738473841232738,133059,73133,0.549628360351423,0.444573585112056,0.729,"Medium",0.168,0.426,0.473,31.3,0.219,0.275,0.042,666.43,6.01,6.8,0.0405,0.5115,0.131,0.04,FALSE,0.117692390064368
