"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Mackinac","Michigan",6099,0.434825381210034,0.556976553533366,10992,9439,0.858715429403202,0.646148956457252,0.891,"Low",0.1355,0.768,0.409,47.1,0.242,0.209,0.107,229.6,13.034,16.16,0.0165,0.012,0.201,0.076,FALSE,0.164729817428484
"Macomb","Michigan",404086,0.514781506906946,0.474931079027732,834723.5,622039,0.745203651268953,0.649615217052307,0.876,"High",0.0935,0.852,0.404,39.3,0.186,0.139,0.104,315.7,3.7,5.9,0.076,0.022,0.218,0.076,FALSE,0.164729817428484
"Manistee","Michigan",12402,0.521931946460248,0.462586679567812,24737,19305,0.780409912277156,0.642424242424242,0.869,"Low",0.129,0.909,0.421,45.9,0.314,0.155,0.102,159.48,5.694,9.54,0.031,0.029,0.168,0.066,FALSE,0.164729817428484
"Marquette","Michigan",32194,0.562682487420016,0.422625333913152,66187.5,50099,0.756925401322002,0.64260763687898,0.917,"Low",0.1375,0.9335,0.439,39.6,0.212,0.138,0.077,163.47,1.75,6.56,0.016,0.01,0.297,0.09,FALSE,0.164729817428484
"Mason","Michigan",14604,0.469460421802246,0.519035880580663,28690.5,22669,0.790122165873721,0.644227800079404,0.881,"Low",0.1525,0.9295,0.428,44.5,0.234,0.147,0.09,245.06,4.948,8.24,0.0055,0.038,0.194,0.067,FALSE,0.164729817428484
"Mecosta","Michigan",16913,0.444332761780879,0.542541240465914,42387,27446,0.647509849718074,0.616228229978868,0.877,"Low",0.203,0.919,0.442,33.6,0.29,0.164,0.093,524.95,3.652,8.3,0.0305,0.016,0.201,0.076,FALSE,0.164729817428484
"Menominee","Michigan",10923,0.479904788061888,0.509383868900485,24129.5,18654,0.773078596738432,0.585558057253136,0.893,"High",0.1195,0.9455,0.398,45.3,0.285,0.151,0.072,135.34,4.978,9.48,0.0035,0.0115,0.134,0.036,FALSE,0.164729817428484
"Midland","Michigan",41754,0.417924031230541,0.572855295301049,83183.5,64050,0.769984432008752,0.651896955503513,0.914,"High",0.1135,0.9325,0.463,39.3,0.19,0.108,0.071,143.53,2.482,6.8,0.0105,0.0195,0.322,0.125,FALSE,0.164729817428484
"Missaukee","Michigan",7027,0.32360893695745,0.663867937953608,14908,10834,0.726723906627314,0.648606239616024,0.856,"Low",0.155,0.959,0.396,41.8,0.204,0.161,0.108,31.33,11.14,15.6,0.0035,0.0185,0.129,0.039,FALSE,0.164729817428484
"Monroe","Michigan",72853,0.498400889462342,0.488559153363623,152460,116397,0.763459268004723,0.625901011194447,0.877,"High",0.0885,0.927,0.396,39.2,0.199,0.101,0.08,247.2,1.87,6.4,0.021,0.029,0.17,0.059,FALSE,0.164729817428484
