"Country","Continent","LE","Year","Population","Urban.pop","GDP","Household.consump","Unemployment","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"Belgium","Europe",78.08,2002,341.24,97.24,25052.33,11.8084745858872,7.5,22.13,0.08,100,102.67,6.24,95,99.5,82,21.34,47.7,78.36,46.33
"United Kingdom","Europe",77.99,2001,244.37,78.75,25980.22,13.8124253335502,4.8,12.27,0.1,100,94.04,5.72,91,99.2,85,11.11,58.43,78.2,33.48
"Belgium","Europe",77.97,2001,339.71,97.18,23121.57,11.740380030495,6.2,22.08,0.08,100,100.64,6.25,95,99.5,82,19.71,49.82,74.72,31.29
"Luxembourg","Europe",77.82,2001,170.47,84.84,47680.38,9.0147232191637,1.8,33.47,0.14,100,94.44,6.24,99,97.7,94,12.46,58.31,92.94,36.16
"Portugal","Europe",77.07,2002,113.88,55.67,12882.29,11.3386757629262,5,36.33,0.15,98.3,99.06,6.37,98,96.8,93,23.21,41.85,83.4,19.37
"United States","North America",76.84,2002,31.39,79.41,38166.04,15.8148325963135,5.9,33.18,0.6,98.9,94.09,6.42,94,99.8,91,13.81,65.2,48.85,58.79
"Jamaica","North America",72.04,2007,245.84,53.18,4816.6,9.24003314582565,9.4,31.24,0.05,93.7,100.75,2.53,92,81.3,76,34.04,13.65,99.12,21.1
"France","Europe",81.21,2008,117.57,77.86,45413.07,14.2950536477765,7.4,29.58,0.28,100,96.49,8.43,98,98.7,89,7.62,56.11,92.68,70.68
"Australia","Oceania",81.04,2006,2.69,88.15,36084.86,12.9586581209695,4.8,16.5,2.31,100,91.48,5.66,92,100,94,18.57,47.64,94.7,66
"France","Europe",80.81,2006,116.19,77.38,36544.51,14.0628635144112,8.8,29.17,0.29,100,96.37,8.42,99,98.7,89,7.42,55.18,83.53,46.87
"Austria","Europe",80.18,2007,100.46,65.84,46586.65,12.2216262093086,4.4,46.68,0.17,100,101.44,7.78,85,100,79,16.47,40.99,119.26,69.37
"Austria","Europe",79.88,2006,100.13,65.83,40430.99,12.0989603185688,4.7,46.66,0.17,100,97.95,7.73,83,100,80,16.58,43.55,112.12,63.6
"Malta","Europe",79.79,2007,1271.01,94.09,18356.97,8.44029702817549,6.5,1.09,0.02,100,98.33,5.66,74,100,79,31.16,55.04,88.03,46.9
"Germany","Europe",79.74,2008,235.52,73.9,45699.2,14.5455645362543,7.5,32.7,0.15,100,103.57,8.18,96,99.2,97,13.33,60.33,126.56,78
"Ireland","Europe",79.64,2007,63.85,61.03,61313.58,11.7192740470468,4.6,10.26,0.24,97.1,102.36,5.95,92,89.9,87,14.82,52.64,115.85,61.16
"Ireland","Europe",79.24,2006,62.03,60.75,54285.75,11.5289183935908,4.4,10.18,0.27,97,100.36,5.67,91,89.8,86,16.06,51.5,110.98,54.82
"Austria","Europe",78.63,2003,98.35,65.81,32102.93,11.8550985636111,4.3,46.57,0.17,100,98.82,7.68,84,100,79,16.31,47.62,89.34,42.7
"United Kingdom","Europe",78.45,2003,246.55,79.34,32575.09,14.0375302139447,4.9,12.38,0.09,100,99.27,6.16,91,99.2,82,11.07,57.88,90.88,64.82
"Gambia, The","Africa",57.62,2008,156.79,54.79,608.65,6.73677714164861,7.1,47.08,0.23,87.7,101.42,3.53,96,58.9,92,20.83,3.1,73.9,6.88
"Rwanda","Africa",53.46,2004,357.88,18.43,236.63,7.51160665705649,0.6,15.27,0.13,69.1,93.42,2.88,89,51.1,84,22.06,0.25,1.48,0.43
"Oman","Asia",76.59,2012,11.45,76.2,21533.81,9.99731891215196,7.4,0.01,0.01,93.3,126.47,2.14,98,96.7,99,12,9.19,159.25,60
"Latvia","Europe",71.02,2007,35.38,67.9,14019.38,9.82158419826614,6,53.38,0.54,98.7,110.1,4.26,94,84.3,95,34.89,29.72,102.3,59.17
"Czech Republic","Europe",75.22,2002,131.96,73.81,8011.9,10.6203944716704,7.3,34.18,0.32,99.8,96.33,6.15,98,99.1,98,9.53,35.98,84.3,23.93
"Czech Republic","Europe",75.17,2001,132.22,73.88,6594.72,10.4276600097321,8.1,34.15,0.32,99.8,102.59,5.76,98,99.1,97,10.23,37.74,67.9,14.7
"Czech Republic","Europe",75.17,2003,131.93,73.74,9741.06,10.816779793426,7.8,34.2,0.32,99.8,88.65,6.4,97,99.1,97,9.96,35.54,95.15,34.3
"Tunisia","Africa",73.9,2006,65.19,65.27,3394.43,9.96272721573998,12.5,5.99,0.27,93.5,106,2.96,99,86.3,98,40.76,12.48,72.23,12.99
"Latvia","Europe",70.76,2001,37.58,67.95,3571.55,8.54638299354678,13.1,52.29,0.41,98.3,86.87,3.16,97,81.7,98,46.49,30.77,28.01,7.22
"Guyana","South America",63.64,2001,3.78,28.61,936.92,6.17048900778264,11.7,84.42,0.61,87,102.31,4.9,85,79.6,92,13.7,10.69,10.07,13.21
"Cote d'Ivoire","Africa",47.74,2006,58.13,47.5,962.92,9.37378147614017,4.1,32.72,0.15,79.5,104.1,1.39,77,19.5,73,61.13,1.53,23.02,1.52
"Germany","Europe",79.13,2006,236.23,73.49,36447.87,14.351854250611,10.3,32.66,0.14,100,97.09,8.13,96,99.2,96,13.67,64.96,102.28,72.16
"Oman","Asia",75.12,2007,8.38,73.53,16225.66,9.45732231748155,7.8,0.01,0.01,89.4,99.74,1.98,99,95,97,11.98,11.48,97.29,16.68
"Saudi Arabia","Asia",74.64,2008,12.44,81.65,19436.86,11.8473899731672,5.1,0.45,0.12,97,104.41,2.06,98,100,97,20.2,15.55,136.54,36
"Bangladesh","Asia",68.28,2007,1126.16,28.24,543.08,10.9893894047617,4.3,11.14,0.05,81.3,112.06,1.15,94,52.8,89,61.18,0.81,23.47,1.8
"Oman","Asia",75.45,2008,8.57,74.08,22963.38,9.74588299827901,7.7,0.01,0.01,90.1,100.67,1.6,99,95.9,98,13.5,11.61,124.13,20
"Chad","Africa",47.37,2004,7.71,21.77,454.66,8.044016533435,6.7,4.91,0.39,46.7,92.56,2.3,21,10.5,16,56.84,0.13,1.27,0.36
"Latvia","Europe",71.27,2003,36.79,67.8,5128.97,8.88046453121923,10.6,52.65,0.42,98.4,91.77,3.25,98,82.6,98,45.67,28.58,53.31,26.98
"Fiji","Oceania",69.02,2008,46.15,51.05,4178.32,7.89931302534658,9,54.44,0.2,94.3,93.5,2.7,99,86.8,94,15.48,15.3,71.1,13
"Czech Republic","Europe",76.98,2008,134.43,73.39,22649.38,11.6269487304292,4.4,34.34,0.31,99.9,104.1,5.63,99,99.1,97,15.73,23.8,132.35,62.97
"Czech Republic","Europe",76.72,2007,133.32,73.46,18333.95,11.3790923125351,5.3,34.32,0.31,99.9,98.02,5.56,99,99.1,98,13.18,23.24,127.96,51.93
"Czech Republic","Europe",76.52,2006,132.54,73.53,15159.14,11.2018330974075,7.1,34.29,0.31,99.9,96.84,5.81,98,99.1,97,11.29,28.1,120.74,47.93
"Latvia","Europe",70.87,2006,35.67,67.97,9651.7,9.52747614405904,6.8,53.19,0.54,98.6,102.14,4.36,96,83.9,98,32.45,29.92,99.38,53.63
"Russian Federation","Europe",66.64,2006,8.73,73.51,6920.19,13.0861600960214,7.1,49.46,0.85,95.8,102.38,3.35,99,72.3,99,29.97,30.55,104.84,18.02
"Mauritius","Africa",74.46,2013,620.03,39.98,9479.87,9.08283876360864,8,18.98,0.06,99.9,93.79,2.37,98,93.2,99,46.53,29.17,123.24,39
"Maldives","Asia",74.08,2005,1016.56,33.75,3671.88,6.84159410872794,13.5,3.33,0.01,96.9,88.51,4.17,98,89.1,97,29.96,10.85,68.43,6.87
"Bhutan","Asia",67.46,2011,19.21,35.59,2485.79,6.6287157519117,3.1,71.23,0.14,97,110.17,4.14,95,48.3,95,12.2,3.77,66.38,21
"Madagascar","Africa",63.8,2011,37.26,32.56,456.33,9.06935728430651,3.6,21.55,0.16,47.8,122.36,2.2,73,11.5,62,37,1.09,40.04,1.9
"Mauritania","Africa",61.51,2013,3.76,58.64,1306.01,7.92565991672872,31.1,0.22,0.12,57.9,119.9,1.85,80,39.5,80,46.31,1.39,102.53,6.2
"Uganda","Africa",59.19,2013,182.39,15.44,674.34,9.81304794222775,4.2,11.71,0.19,77.4,112.52,4.34,78,18.8,82,38.39,0.73,48.08,16.2
"Gambia, The","Africa",56.76,2005,142.35,52.34,433.29,6.35614238231531,7.2,46.54,0.23,85.9,93.59,2.9,95,59.2,91,20.53,3.06,17.23,3.8
"Togo","Africa",56.49,2013,127.39,38.98,626.17,8.18297561114607,6.9,4.18,0.38,61.8,124.59,4.49,84,11.6,72,40.53,0.92,62.53,4.5
"Burundi","Africa",54.1,2013,407.55,11.47,259.37,7.6321152330246,7,10.39,0.11,75.5,144.81,4.39,96,47.8,98,20.23,0.21,24.96,1.3
"Mozambique","Africa",50.17,2013,33.66,31.67,605.23,9.3472652502098,22.5,48.77,0.21,50.8,161.67,3.15,78,20.3,85,6.41,0.3,48,5.4
"Equatorial Guinea","Africa",48.87,2005,22.31,38.86,13129.6,7.04623814281543,6.8,60.07,0.21,47.3,100.92,1.09,39,78,51,34.7,1.66,16.05,1.15
"Central African Republic","Africa",45,2005,6.51,38.07,332.95,7.08110336097698,7,35.84,0.48,64.8,99.49,2.18,54,18.9,62,46.19,0.25,2.52,0.27
"Australia","Oceania",81.9,2011,2.91,88.88,62216.55,13.5290279392135,5.1,16.08,2.13,100,108.84,6.32,92,100,94,17.94,46.49,104.61,79.49
"Vietnam","Asia",75.76,2013,289.32,32.31,1908.64,11.6200945042629,2.2,46.81,0.07,95.1,133.66,2.49,59,74.7,98,49.41,7.34,134.97,43.9
"Kyrgyz Republic","Asia",70.2,2013,29.82,35.48,1282.44,8.87181823574567,8.3,3.4,0.22,88.4,112.19,3.94,97,93.1,99,36.36,8.31,121.45,23
"Australia","Oceania",80.84,2005,2.65,88,33982.95,12.9018813062077,5,16.61,2.42,100,107.94,5.66,92,100,94,18.54,49.32,89.76,63
"Portugal","Europe",80.47,2011,115.27,61.17,23194.74,11.9903475716414,12.7,35.24,0.11,99.8,100.64,6.9,97,99.2,97,25.16,42.86,116.39,55.25
"France","Europe",80.16,2005,115.38,77.13,34879.73,14.0108496593406,8.9,28.97,0.29,100,99.61,8.53,98,98.7,87,7.08,54.86,78.26,42.87
"Austria","Europe",79.33,2005,99.63,65.82,38242.04,12.0392202223501,5.2,46.63,0.17,100,100.37,7.85,86,100,75,16.84,45.38,105.18,58
"Belgium","Europe",78.98,2005,346.06,97.4,36967.28,12.1862340555873,8.4,22.27,0.08,100,98.91,7.14,97,99.5,88,20.78,45.63,91.4,55.82
"United Arab Emirates","Asia",75.58,2005,53.61,82.26,40298.52,11.5641232047926,3.1,3.73,0.02,99.7,105.16,1.37,94,97.5,92,30.14,29.81,109.29,40
"Macedonia, FYR","Europe",74.72,2010,81.78,56.99,4561.18,8.86875387981605,32,39.57,0.2,99.4,119.11,4.32,95,90.8,98,36.78,19.65,102.44,51.9
"United States","North America",77.34,2005,32.25,79.93,44307.92,15.9895931010531,5.2,33.26,0.56,99,99.29,6.73,96,99.8,92,13.4,58.75,68.32,67.97
"Malta","Europe",78.2,2000,1191.76,92.37,10377.04,7.84293842010812,6.3,1.09,0.02,100,107.05,4.76,94,100,74,26.67,50.11,28.08,13.11
"Germany","Europe",77.93,2000,235.6,73.07,23718.75,13.9237086668437,7.7,32.54,0.14,100,102.76,8.27,90,99.2,92,11.44,60.13,57.72,30.22
"Luxembourg","Europe",77.87,2000,168.46,84.22,48992.31,9.00135363836562,2.3,33.47,0.14,100,109.69,6.36,99,97.7,93,11.8,57.07,69.54,22.89
"Belgium","Europe",77.72,2000,338.55,97.13,23207.41,11.7392186110993,6.6,22.04,0.08,100,107.36,6.06,95,99.5,82,20.54,49.05,54.82,29.43
"Turkey","Asia",70,2000,82.17,64.74,4215.16,12.1438709651854,6.5,13.23,0.38,92.6,94.21,3.11,85,88.1,87,27.65,29.12,25.54,3.76
"United States","North America",76.64,2000,30.8,79.06,36449.86,15.7313132933183,4.1,33.13,0.62,98.8,95.97,5.66,94,99.7,91,14.9,67.64,38.47,43.08
"South Africa","Africa",54.39,2010,41.87,62.22,7389.96,12.3082497394737,24.7,7.62,0.25,91.1,118.74,4.04,66,63.5,74,7.42,9.45,97.9,24
"Peru","South America",74.81,2013,23.88,77.95,6603.81,11.7302990419527,4,58.05,0.14,85.9,146.76,3.12,88,74.6,85,34.92,10.55,98.08,39.2
"Iran, Islamic Rep.","Asia",74.07,2013,47.37,72.32,6631.3,12.4479691754128,12.9,6.57,0.19,96.1,113.29,2.73,98,89.9,98,52.11,38.33,84.25,29.95
"Montenegro","Europe",74.54,2011,46.1,63.27,7318.74,8.21657176543045,19.7,61.49,0.28,99.1,102.75,4.19,95,94,91,39.54,27.53,186.76,35.61
"Moldova","Europe",68.81,2013,123.92,44.88,2243.98,8.90674163209655,5.1,12.16,0.51,88.1,87.82,5.43,90,76.1,91,44.58,35.03,106.01,45
"Georgia","Asia",73.67,2010,77.9,52.87,2613.76,9.07646492017009,16.3,40.62,0.09,96.8,71.57,2.29,92,89.3,94,69.11,25.34,90.65,26.9
"Jamaica","North America",73.08,2011,249.29,53.93,5332.47,9.42248445028001,12.7,31.09,0.04,93.8,103.37,2.79,92,81.6,88,32.96,9.8,106.92,37.44
"Madagascar","Africa",64.69,2013,39.4,33.83,462.97,9.13920091250259,3.6,21.49,0.15,49.7,120.66,2.65,74,11.7,63,30.06,1.07,36.91,3
"Mauritania","Africa",61.19,2011,3.57,57.35,1390.93,7.79159306461735,31.1,0.23,0.11,55.5,111.56,1.55,75,36.9,67,48.32,1.95,89.52,4.5
"China","Asia",75.04,2011,143.17,50.57,5574.19,14.8540612650291,4.3,21.53,0.08,92.3,123.33,2.88,99,71.9,99,34.77,20.84,72.07,38.3
"Congo, Dem. Rep.","Africa",48.99,2010,29.09,39.94,311.25,9.70792816096483,8.2,67.99,0.1,50.7,106.38,2.04,60,26.8,74,33.44,0.07,19.01,0.72
"Bhutan","Asia",67,2010,18.9,34.79,2201.29,6.60490542173831,3.3,70.97,0.14,96,94.57,4.55,91,46.8,95,11.48,3.67,55,13.6
"Timor-Leste","Asia",65.94,2010,71.72,29.51,875.84,6.45676965557216,3.9,49.9,0.14,68.2,125.77,0.89,72,39.1,66,4.57,0.27,43.82,0.21
"Central African Republic","Africa",48.1,2010,7.14,38.83,446.8,7.51274861199961,6.9,35.71,0.4,67.2,113.44,2.02,45,20.7,53,43.38,0.02,22.51,2
"Oman","Asia",72.36,2000,7.24,71.57,8710.99,8.83903173304947,8,0.01,0.01,84,91.53,2.51,99,89,99,11.75,10.12,7.39,3.52
"Swaziland","Africa",48.35,2010,69.37,21.49,2956.7,8.00925672335094,22.8,32.73,0.15,70.4,103.86,5.41,89,56.5,94,13.77,4.44,60.83,11.04
"China","Asia",72.14,2000,134.49,35.88,954.55,13.2552891016488,4.5,18.85,0.09,80.3,83.34,1.77,85,58.8,84,58.98,11.31,6.66,1.78
"Czech Republic","Europe",75.92,2005,132.17,73.6,13317.73,11.0880528944779,7.9,34.26,0.31,99.9,98.63,6.05,97,99.1,97,10.7,31.45,115.1,35.27
"Guinea-Bissau","Africa",53.56,2010,58.12,45.22,518.6,6.67562143582979,6.8,71.91,0.18,69.8,121.86,2.25,80,18.9,69,39.57,0.32,42.69,2.45
"Georgia","Asia",74.08,2013,78.51,53.31,3596.91,9.35344021561636,14.6,40.62,0.1,99,86.89,2.03,96,87.5,97,61.91,27.65,115.03,43.3
"Kazakhstan","Asia",68.3,2010,6.05,53.73,9070.65,11.2013626369496,5.8,1.23,1.76,93.2,109.31,2.53,99,97.4,99,42.34,25.49,121.87,31.6
"Rwanda","Africa",47.64,2000,325.17,14.93,216.28,7.39189600687873,0.6,13.94,0.11,66.3,82.13,1.65,90,46.6,74,24.78,0.21,0.46,0.06
"China","Asia",74.89,2010,142.49,49.23,4514.94,14.6084737472721,4.2,21.37,0.08,91.4,119.95,2.7,99,70.8,99,35.29,21.65,63.17,34.3
"Oman","Asia",73.21,2002,7.51,71.53,8670.26,8.89322124987071,8,0.01,0.01,85.5,82.54,2.67,99,90.7,99,10.15,9.86,20.06,6.87
"Madagascar","Africa",59.7,2002,28.78,27.66,262.74,8.2163718421571,4.4,22.27,0.18,39.6,86.18,2.58,62,10.5,61,38.09,0.36,0.97,0.34
"Nicaragua","North America",71.04,2003,43.55,55.46,1015.57,8.46685523002645,8,29.95,0.39,80.7,95.51,3.46,86,57.5,93,38.48,3.85,8.78,1.88
"Uganda","Africa",51.87,2004,135.7,12.76,292.84,8.7057154838518,2.5,17.6,0.22,62.8,99.88,2.48,62,16.5,66,35.95,0.26,4.2,0.72
"Georgia","Asia",73.94,2012,78.57,53.16,3528.73,9.35591668245235,15,40.62,0.09,98.3,72.55,1.65,92,88.1,93,64.66,29.27,107.81,36.94
"Kyrgyz Republic","Asia",70,2012,29.23,35.4,1177.97,8.75270158205316,8.4,3.45,0.23,87.6,109.53,4.2,96,93,98,35.22,8.93,124.18,19.8
"Belgium","Europe",80.59,2011,364.85,97.69,47699.81,12.5155545774227,7.1,22.51,0.07,100,103.75,8.03,98,99.5,95,19.95,42.1,113.53,81.61
"United States","North America",78.64,2011,34.08,80.94,49781.36,16.1847536587713,9,33.78,0.49,99.1,109.11,8.08,95,100,92,11.95,45.51,94.44,69.73
"Malawi","Africa",54.14,2011,161.51,15.66,369.6,8.30616841026957,7.6,34.14,0.24,82.9,165.4,4.65,97,39.2,96,8.96,1.12,25.56,3.33
"Burundi","Africa",53.14,2011,381.24,10.91,240.61,7.44614159358913,7.1,10.03,0.1,75,111.84,5.4,96,47.2,93,25.79,0.31,20.07,1.11
"Chad","Africa",47.67,2005,8,21.8,660.18,8.37155682836895,7,4.88,0.45,47.2,103.57,1.56,25,10.7,27,61.01,0.13,2.1,0.4
"France","Europe",82.11,2011,119.34,78.58,43807.48,14.282807753119,9.2,30.2,0.28,100,100.84,8.91,99,98.7,89,7.49,63.49,94.08,77.82
"Austria","Europe",80.98,2011,101.65,65.86,51123.56,12.3441953320158,4.1,46.78,0.16,100,108.29,8.32,83,100,76,15.89,40.18,154.43,78.74
"United Kingdom","Europe",80.95,2011,261.48,81.57,41020.38,14.3300980470339,7.8,12.71,0.1,100,105.15,7.7,95,99.2,90,9.34,53.27,123.6,85.38
"Germany","Europe",80.74,2011,234.67,74.49,45936.08,14.547330970106,5.9,32.74,0.15,100,105.85,8.6,96,99.2,97,13.14,62.01,109.66,81.27
"Belarus","Europe",72.47,2013,46.65,75.88,7722.12,10.505434595485,6,42.35,0.59,99.7,125.89,3.97,98,94.4,99,31.86,47.76,118.79,54.17
"Spain","Europe",82.48,2011,93.51,78.67,31832.24,13.6649801835824,21.7,36.57,0.27,100,106.77,6.93,97,99.9,97,20.25,42.76,113.06,67.6
"France","Europe",81.66,2010,118.76,78.35,40705.77,14.2116760449951,9.3,30,0.28,100,98.79,8.96,99,98.7,89,7.45,64.24,91.39,77.28
"Portugal","Europe",78.07,2005,114.83,57.52,18784.95,11.7517940079796,7.6,36.03,0.12,98.8,97.44,7.04,93,97.6,93,23.88,40.28,108.91,34.99
"Jamaica","North America",72.85,2010,248.46,53.74,4902.03,9.28793362063442,12.4,31.13,0.04,93.7,98.68,2.98,94,81.6,89,30.98,9.6,116.07,27.67
"India","Asia",64.1,2005,384.88,29.24,729,13.0824456822155,4.4,22.77,0.14,85.5,100.02,1,65,30.6,68,69.4,4.45,8,2.39
"Australia","Oceania",81.7,2010,2.87,88.73,51845.65,13.3587224813441,5.2,16.04,1.93,100,102.17,6.13,92,100,94,18.58,47.42,100.43,76
"Israel","Asia",81.6,2010,352.29,91.82,30736.36,11.8064749156438,6.6,7.12,0.04,100,105.03,4.47,95,100,96,24.12,45.93,122.78,67.5
"Malta","Europe",81.4,2010,1295.34,94.67,19694.08,8.52497086673204,6.9,1.09,0.02,100,98.62,5.33,76,100,73,33.3,58.3,107.26,63
"Austria","Europe",80.58,2010,101.3,65.85,46659.84,12.2516479332319,4.4,46.75,0.16,100,103.15,8.4,83,100,76,16.18,40.44,145.69,75.17
"United Kingdom","Europe",80.4,2010,259.44,81.3,38292.87,14.2562604770481,7.9,12.64,0.1,100,101.97,7.87,94,99.2,89,8.77,53.83,123.63,85
"Germany","Europe",79.99,2010,234.61,74.29,41788.04,14.4655386806896,7.1,32.73,0.14,100,104.09,8.87,96,99.2,97,13.13,63.72,106.48,82
"Portugal","Europe",79.03,2010,115.44,60.57,22540,11.9622621847856,10.8,35.36,0.11,99.6,105.24,7.46,98,99,96,23.3,42.36,115.3,53.3
"Israel","Asia",78.95,2000,290.62,91.2,21052.1,11.165374485078,8.8,7.07,0.05,100,87.44,4.46,93,100,95,28.33,49.45,73.17,20.87
"United States","North America",78.54,2010,33.82,80.77,48374.06,16.1381123729816,9.7,33.75,0.5,99.1,109.94,8.1,95,99.9,92,11.98,47.93,91.31,71.69
"Netherlands","Europe",77.99,2000,471.73,76.8,25921.13,12.237354525527,2.7,10.66,0.06,100,104.71,5.02,97,98.1,96,8.98,62.35,67.81,43.98
"Greece","Europe",77.89,2000,84.7,72.72,11952.86,11.3757232287502,11.1,27.94,0.25,98.8,106.4,4.73,89,95.5,89,34.36,51.51,54,9.14
"United Kingdom","Europe",77.74,2000,243.43,78.65,26400.66,13.8203392510387,5.6,12.21,0.1,100,104.07,5.49,91,99.2,88,11.12,59.76,73.71,26.82
"Namibia","Africa",62.48,2010,2.66,41.62,5143.13,8.87243951536321,22.1,8.85,0.36,87.3,90.83,4.65,83,32.2,75,7.45,7.21,89.5,11.6
"Mauritania","Africa",61.02,2010,3.48,56.68,1207.83,7.75897401411258,31.1,0.23,0.13,54.3,112.33,2.06,64,35.7,67,49.62,1.98,76.91,4
"Nigeria","Africa",46.62,2000,134.92,34.84,377.5,10.1012747310199,7.6,14.42,0.28,51.8,80.71,0.95,29,34,33,61.65,0.45,0.02,0.06
"Spain","Europe",81.63,2010,93.15,78.44,30737.83,13.616502207818,20.2,36.49,0.27,100,104.35,7.17,97,99.9,95,19.94,43.7,111.28,65.8
"Czech Republic","Europe",77.87,2011,135.89,73.19,21656.94,11.6274135671793,6.7,34.43,0.3,100,95.51,6.31,99,99.1,98,14.74,20.77,124.09,70.49
"Hungary","Europe",74.86,2011,110.15,69.35,14032.77,11.2055568784809,10.9,22.65,0.44,100,87.83,5.12,99,98,99,27.14,29.34,116.94,68.02
"Mongolia","Asia",67.12,2011,1.78,68.54,3772.93,8.58664462441445,4.8,8.33,0.22,63.3,124.48,3.78,99,57.2,98,34.2,6.81,106.83,12.5
"Madagascar","Africa",63.35,2010,36.25,31.93,414.14,8.93135239610105,3.6,21.59,0.17,46.9,120.01,2.73,70,11.4,66,38.97,0.67,36.58,1.7
"South Africa","Africa",55.3,2011,42.5,62.75,8080.87,12.4294758431334,24.7,7.62,0.23,91.6,117.34,4.11,72,64.1,78,7.21,9.34,123.2,33.97
"Zambia","Africa",54.53,2010,18.72,38.73,1456.13,9.42512105175667,13.2,66.54,0.24,61.4,167.96,2.28,83,42.8,96,29.29,0.9,41.21,10
"Malaysia","Asia",74.67,2011,86.97,71.74,10427.76,11.8700512972435,3.1,67.38,0.03,97.7,124.52,2.14,96,95.7,95,35.08,15.73,127.48,61
"Portugal","Europe",76.31,2000,112.46,54.4,11502.4,11.2234762320097,3.9,36.54,0.16,98,99.42,6.19,96,96.2,87,24.33,41.93,64.67,16.43
"Czech Republic","Europe",74.97,2000,132.72,73.99,5994.53,10.3506056697762,8.8,34.13,0.32,99.8,99.53,5.7,98,99.1,97,9.68,37.77,42.4,9.78
"Burundi","Africa",48.21,2000,263.52,8.25,128.64,6.68869089653442,7.3,7.71,0.14,71.8,90.83,1.93,80,44.3,72,50.63,0.3,0.24,0.08
"Latvia","Europe",70.31,2000,38.07,68.07,3351.47,8.50853178953711,14.2,52.11,0.41,98.3,86.38,3.27,96,81.7,97,44.14,30.98,16.92,6.32
"Czech Republic","Europe",77.42,2010,135.61,73.26,19763.96,11.5322430727026,7.3,34.4,0.3,100,92.17,6.22,99,99.1,98,14.86,22.43,122.56,68.82
"Belarus","Europe",68.91,2000,49.32,69.97,1273.05,8.91286382319195,6.5,40.79,0.61,99.5,79.78,4.63,99,94.8,98,14.01,27.57,0.49,1.86
"Malawi","Africa",53.47,2010,156.66,15.54,365.52,8.25841469040795,7.5,34.33,0.25,81,155.6,4.37,93,38.8,93,10.93,1.01,20.76,2.26
"Armenia","Asia",74.33,2011,104.25,63.37,3417.17,9.04279589436277,18.4,11.63,0.15,99,115.59,1.94,95,89.5,97,47.05,19.8,108.34,32
"Georgia","Asia",73.81,2011,78.44,53.02,3219.61,9.27862125672739,15.1,40.62,0.09,97.6,77.05,1.7,94,88.7,91,64.89,30.65,101.28,31.52
"Switzerland","Europe",81.74,2007,191.09,73.55,63223.47,12.4638869979052,3.6,30.98,0.05,100,101.07,6.03,94,99.9,87,30.73,65.13,108.52,77.2
"Switzerland","Europe",80.54,2003,185.7,73.4,47960.56,12.2343448923588,4.1,30.56,0.06,100,97.28,6.38,93,99.9,82,31.62,73.03,84.91,65.1
"Greece","Europe",79.44,2007,86.6,75.2,28531.57,12.238007409346,8.3,29.58,0.23,99.7,92.34,5.92,99,97.7,99,34.56,49.42,111.1,35.88
"Korea, Rep.","Asia",79.35,2007,501.42,81.63,23101.51,13.2843070754882,3.2,64.4,0.03,97.1,101.57,3.51,91,100,92,35.98,48.36,93.27,78.8
"Qatar","Asia",77.2,2003,57.55,96.87,35221.53,8.26428349136568,1.1,0,0.02,99.5,94.85,3.49,92,99.1,93,15.76,27.95,57.03,19.24
"India","Asia",64.79,2007,396.77,29.91,1050.02,13.4442608447778,3.7,23.05,0.13,87.4,114.65,1.02,64,32.6,70,65.11,3.39,20.16,3.95
"Sweden","Europe",81.7,2012,23.37,85.36,57134.08,12.4416982508732,8.1,68.92,0.27,100,93.32,7.78,98,99.3,97,16.51,43.83,124.57,93.18
"Denmark","Europe",80.05,2012,131.78,87.14,57636.13,11.9660435194321,7.5,14.07,0.43,100,104.62,9.42,94,99.6,90,12.44,41.08,130.28,92.26
"Slovenia","Europe",80.12,2012,102.14,49.86,22477.6,10.1750524381056,8.8,61.94,0.08,99.5,87.27,6.7,96,99.1,95,11.9,40.4,108.39,68.35
"Turkey","Asia",74.86,2012,96.28,71.83,10646.04,13.22432858151,9.2,14.82,0.28,99.5,126.64,4.14,97,93.7,96,15.39,18.73,91.46,45.13
"Macedonia, FYR","Europe",74.32,2007,81.31,57.24,4063.75,8.77148806265008,34.9,39.01,0.21,99.3,107.38,4.54,95,90.3,96,34.91,22.11,85.59,36.3
"Macedonia, FYR","Europe",73.96,2004,80.16,57.71,2787.77,8.43460257390879,37.2,38.21,0.23,99.3,98.7,5.19,94,89.8,96,40.29,25.75,47.25,24.44
"Macedonia, FYR","Europe",73.82,2003,79.98,57.92,2431.84,8.28009522860661,36.7,38.07,0.23,99.3,89.36,5.43,96,89.8,96,41.29,25.23,37.29,19.07
"Romania","Europe",72.57,2008,89.33,53.57,10136.47,11.7916056668881,5.8,28.12,0.42,94.6,95.4,4.46,96,76.7,96,17.62,21.63,111.4,32.42
"Lithuania","Europe",71.96,2004,53.88,66.65,6706.97,9.60003985312581,11.3,33.52,0.48,92.6,100.22,3.83,94,88.1,98,31.94,24.6,91.54,31.23
"Lithuania","Europe",71.76,2002,54.93,66.83,4146.99,9.12769110350603,13,32.87,0.48,91.8,89.88,4.79,95,87.3,98,24.63,27.35,48.1,17.69
"Russian Federation","Europe",68.6,2009,8.72,73.64,8562.81,13.378736205935,8.3,49.7,0.85,96.2,112.55,4.14,98,72.3,98,40.95,31.58,160.1,29
